time	V(out)	V(n003)
1.000000143021222e-04	1.501500238975373e-06	2.145318332566958e-01
1.000000153863549e-04	1.501500332911531e-06	2.307953232417699e-01
1.000000162819722e-04	1.501500457523460e-06	2.442295836597476e-01
1.000000173629912e-04	1.501500703262864e-06	2.604448683899297e-01
1.000000184003171e-04	1.501501097323580e-06	2.760047559561629e-01
1.000000194131424e-04	1.501501756323857e-06	2.911971355777469e-01
1.000000204308932e-04	1.501502884552777e-06	3.064633975465112e-01
1.000000213988127e-04	1.501504715779008e-06	3.209821912252128e-01
1.000000224216140e-04	1.501507983841642e-06	3.363242102622389e-01
1.000000235030574e-04	1.501513814077812e-06	3.525458613598151e-01
1.000000248133877e-04	1.501526011727849e-06	3.722008159036220e-01
1.000000267232098e-04	1.501555382412896e-06	4.008481467896807e-01
1.000000288312697e-04	1.501606238650435e-06	4.324690461293820e-01
1.000000314090353e-04	1.501697731505428e-06	4.711355300844859e-01
1.000000343421498e-04	1.501847090295414e-06	5.151322465514691e-01
1.000000392085299e-04	1.502213787725195e-06	5.881279486449941e-01
1.000000484164698e-04	1.503315267252088e-06	7.262470475260380e-01
1.000000668323497e-04	1.507113979373467e-06	1.002485245288126e+00
1.000001036641094e-04	1.521070359422775e-06	1.554961640812301e+00
1.000001773276288e-04	1.574418949265260e-06	2.659914431657364e+00
1.000003246546676e-04	1.782859390624708e-06	4.869820013550779e+00
1.000006193087451e-04	2.529875881440675e-06	9.289631177134320e+00
1.000010000000000e-04	3.886495817779837e-06	1.500000000000000e+01
1.000010380691255e-04	4.082072317871460e-06	1.500000000000000e+01
1.000011142073765e-04	4.494964090132116e-06	1.500000000000000e+01
1.000012664838784e-04	5.427026016771112e-06	1.500000000000000e+01
1.000015710368823e-04	7.725924520167926e-06	1.500000000000000e+01
1.000021801428901e-04	1.406281545844602e-05	1.500000000000000e+01
1.000033983549056e-04	3.369293262377370e-05	1.500000000000000e+01
1.000058347789367e-04	1.007781352588662e-04	1.500000000000000e+01
1.000107076269989e-04	3.462446413073894e-04	1.500000000000000e+01
1.000204533231233e-04	1.282319244588431e-03	1.500000000000000e+01
1.000399447153722e-04	4.934490282908058e-03	1.500000000000000e+01
1.000789274998698e-04	1.935133498474966e-02	1.500000000000000e+01
1.001568930688651e-04	7.652293541136651e-02	1.500000000000000e+01
1.003128242068557e-04	3.025119777501767e-01	1.500000000000000e+01
1.006246864828370e-04	1.132849336520590e+00	1.500000000000000e+01
1.011129677328370e-04	3.198711316733091e+00	1.500000000000000e+01
